budget_id,category,sub_category,budget_year,budget_allocated,budget_spent,budget_remaining,month,department,description,status
B001,งานวิชาการ,อุปกรณ์การเรียน,2567,500000,420000,80000,สิงหาคม,วิชาการ,จัดซื้อหรือจ้างทำเอกสารและหนังสือเรียน,ดำเนินการ
B002,งานวิชาการ,สื่อการสอน,2567,300000,285000,15000,สิงหาคม,วิชาการ,จัดซื้อสื่อและอุปกรณ์การสอน,ดำเนินการ
B003,งานวิชาการ,ห้องปฏิบัติการ,2567,800000,650000,150000,กันยายน,วิชาการ,ปรับปรุงห้องปฏิบัติการวิทยาศาสตร์,ดำเนินการ
B004,งานวิชาการ,ICT,2567,1200000,980000,220000,กันยายน,เทคโนโลยี,จัดซื้อคอมพิวเตอร์และอุปกรณ์,ดำเนินการ
B005,งานวิชาการ,ห้องสมุด,2567,250000,180000,70000,ตุลาคม,ห้องสมุด,จัดซื้อหนังสือและสื่อสำหรับห้องสมุด,ดำเนินการ
B006,งานบุคลากร,เงินเดือนครู,2567,12000000,8000000,4000000,สิงหาคม,บุคลากร,จ่ายเงินเดือนครูและบุคลากร,ดำเนินการ
B007,งานบุคลากร,สวัสดิการ,2567,600000,420000,180000,สิงหาคม,บุคลากร,สวัสดิการครูและบุคลากร,ดำเนินการ
B008,งานบุคลากร,พัฒนาบุคลากร,2567,400000,285000,115000,กันยายน,บุคลากร,อบรมพัฒนาครูและบุคลากร,ดำเนินการ
B009,งานบุคลากร,เงินเดือนครู,2567,12000000,4000000,8000000,กันยายน,บุคลากร,จ่ายเงินเดือนครูและบุคลากร,ดำเนินการ
B010,งานบุคลากร,สวัสดิการ,2567,600000,210000,390000,กันยายน,บุคลากร,สวัสดิการครูและบุคลากร,ดำเนินการ
B011,งานอาคารสถานที่,ซ่อมบำรุง,2567,800000,560000,240000,สิงหาคม,อาคารสถานที่,ซ่อมแซมอาคารเรียนและสิ่งก่อสร้าง,ดำเนินการ
B012,งานอาคารสถานที่,ปรับปรุงอาคาร,2567,1500000,1200000,300000,กันยายน,อาคารสถานที่,ปรับปรุงอาคารเรียนหลังเก่า,ดำเนินการ
B013,งานอาคารสถานที่,สาธารณูปโภค,2567,600000,425000,175000,สิงหาคม,อาคารสถานที่,ค่าไฟฟ้า น้ำประปา,ดำเนินการ
B014,งานอาคารสถานที่,สาธารณูปโภค,2567,600000,380000,220000,กันยายน,อาคารสถานที่,ค่าไฟฟ้า น้ำประปา,ดำเนินการ
B015,งานอาคารสถานที่,จัดสวน,2567,200000,145000,55000,ตุลาคม,อาคารสถานที่,จัดทำและดูแลสวน,ดำเนินการ
B016,งานกิจการนักเรียน,ทุนการศึกษา,2567,500000,380000,120000,สิงหาคม,กิจการนักเรียน,ทุนการศึกษานักเรียนยากจน,ดำเนินการ
B017,งานกิจการนักเรียน,กิจกรรมนักเรียน,2567,350000,285000,65000,สิงหาคม,กิจการนักเรียน,จัดกิจกรรมพัฒนาผู้เรียน,สำเร็จ
B018,งานกิจการนักเรียน,อาหารกลางวัน,2567,900000,720000,180000,สิงหาคม,กิจการนักเรียน,อาหารกลางวันนักเรียน,ดำเนินการ
B019,งานกิจการนักเรียน,ชุดนักเรียน,2567,400000,320000,80000,กันยายน,กิจการนักเรียน,สนับสนุนชุดนักเรียนยากจน,ดำเนินการ
B020,งานกิจการนักเรียน,อาหารกลางวัน,2567,900000,730000,170000,กันยายน,กิจการนักเรียน,อาหารกลางวันนักเรียน,ดำเนินการ
B021,งานบริหารทั่วไป,เครื่องใช้สำนักงาน,2567,300000,235000,65000,สิงหาคม,บริหารทั่วไป,จัดซื้อเครื่องใช้สำนักงาน,ดำเนินการ
B022,งานบริหารทั่วไป,วัสดุสำนักงาน,2567,200000,156000,44000,สิงหาคม,บริหารทั่วไป,จัดซื้อวัสดุสำนักงาน,ดำเนินการ
B023,งานบริหารทั่วไป,ค่าโทรศัพท์อินเตอร์เน็ต,2567,180000,120000,60000,สิงหาคม,บริหารทั่วไป,ค่าบริการโทรศัพท์และอินเตอร์เน็ต,ดำเนินการ
B024,งานบริหารทั่วไป,ค่าโทรศัพท์อินเตอร์เน็ต,2567,180000,60000,120000,กันยายน,บริหารทั่วไป,ค่าบริการโทรศัพท์และอินเตอร์เน็ต,ดำเนินการ
B025,งานบริหารทั่วไป,เครื่องถ่ายเอกสาร,2567,250000,185000,65000,กันยายน,บริหารทั่วไป,จัดซื้อเครื่องถ่ายเอกสาร,สำเร็จ
B026,งานวิชาการ,การแข่งขัน,2567,450000,380000,70000,ตุลาคม,วิชาการ,ส่งนักเรียนแข่งขันทักษะวิชาการ,ดำเนินการ
B027,งานวิชาการ,โครงการพิเศษ,2567,350000,285000,65000,ตุลาคม,วิชาการ,โครงการค่ายวิทยาศาสตร์,สำเร็จ
B028,งานอาคารสถานที่,ซ่อมบำรุง,2567,800000,340000,460000,ตุลาคม,อาคารสถานที่,ซ่อมแซมอาคารเรียนและสิ่งก่อสร้าง,ดำเนินการ
B029,งานกิจการนักเรียน,อาหารกลางวัน,2567,900000,745000,155000,ตุลาคม,กิจการนักเรียน,อาหารกลางวันนักเรียน,ดำเนินการ
B030,งานบุคลากร,เงินเดือนครู,2567,12000000,4000000,8000000,ตุลาคม,บุคลากร,จ่ายเงินเดือนครูและบุคลากร,ดำเนินการ
B031,งานวิชาการ,อุปกรณ์การเรียน,2567,500000,95000,405000,พฤศจิกายน,วิชาการ,จัดซื้อหรือจ้างทำเอกสารและหนังสือเรียน,รออนุมัติ
B032,งานอาคารสถานที่,สาธารณูปโภค,2567,600000,410000,190000,ตุลาคม,อาคารสถานที่,ค่าไฟฟ้า น้ำประปา,ดำเนินการ
B033,งานบุคลากร,สวัสดิการ,2567,600000,225000,375000,ตุลาคม,บุคลากร,สวัสดิการครูและบุคลากร,ดำเนินการ
