document_id,document_type,document_title,created_by,created_date,department,status,approver_level1,approve_date_level1,approver_level2,approve_date_level2,priority,description
DOC001,บันทึกข้อความ,ขออนุมัติจัดซื้อวัสดุสำนักงาน,T022,2024-08-01,บริหารทั่วไป,อนุมัติแล้ว,T021,2024-08-02,T023,2024-08-03,ปกติ,จัดซื้อกระดาษ ปากกา และอุปกรณ์สำนักงาน
DOC002,คำสั่ง,แต่งตั้งคณะกรรมการสอบกลางภาค,T021,2024-08-05,วิชาการ,อนุมัติแล้ว,T021,2024-08-05,,,ปกติ,แต่งตั้งคณะกรรมการควบคุมการสอบกลางภาค
DOC003,หนังสือราชการ,ขอความอนุเคราะห์วิทยากร,T001,2024-08-10,วิชาการ,อนุมัติแล้ว,T021,2024-08-12,,,ด่วน,ขอวิทยากรสอนเสริมคณิตศาสตร์
DOC004,บันทึกข้อความ,ขออนุมัติเบิกค่าเดินทาง,T003,2024-08-15,วิชาการ,อนุมัติแล้ว,T021,2024-08-16,T023,2024-08-17,ปกติ,ค่าเดินทางไปประชุมที่กรุงเทพฯ
DOC005,บันทึกข้อความ,ขออนุมัติจัดกิจกรรมวันแม่,T008,2024-08-18,กิจการนักเรียน,อนุมัติแล้ว,T021,2024-08-19,T023,2024-08-20,ปกติ,จัดกิจกรรมวันแม่แห่งชาติ
DOC006,คำสั่ง,มอบหมายหน้าที่ครูประจำชั้น,T021,2024-08-22,วิชาการ,อนุมัติแล้ว,T021,2024-08-22,,,ปกติ,มอบหมายหน้าที่ครูประจำชั้นปีการศึกษา 2567
DOC007,บันทึกข้อความ,ขออนุมัติซ่อมแซมอาคาร,T025,2024-08-25,อาคารสถานที่,อนุมัติแล้ว,T021,2024-08-26,T023,2024-08-27,ด่วนที่สุด,ซ่อมแซมหลังคาอาคารเรียนรั่ว
DOC008,หนังสือราชการ,รายงานผลการดำเนินงานไตรมาส 1,T022,2024-09-01,บริหารทั่วไป,อนุมัติแล้ว,T021,2024-09-02,,,ปกติ,รายงานผลการดำเนินงานส่งสพท.
DOC009,บันทึกข้อความ,ขออนุมัติจัดซื้อคอมพิวเตอร์,T014,2024-09-05,เทคโนโลยี,อนุมัติแล้ว,T021,2024-09-06,T023,2024-09-08,ด่วน,จัดซื้อคอมพิวเตอร์ห้องปฏิบัติการ
DOC010,บันทึกข้อความ,ขออนุมัติส่งนักเรียนแข่งขัน,T001,2024-09-10,วิชาการ,อนุมัติแล้ว,T021,2024-09-11,T023,2024-09-12,ปกติ,ส่งนักเรียนแข่งขันคณิตศาสตร์ระดับจังหวัด
DOC011,หนังสือราชการ,ขอรับการสนับสนุนงบประมาณ,T023,2024-09-15,บริหารทั่วไป,อนุมัติแล้ว,T021,2024-09-16,,,ปกติ,ขอรับงบประมาณสนับสนุนจากสพฐ.
DOC012,คำสั่ง,แต่งตั้งคณะกรรมการสอบปลายภาค,T021,2024-09-20,วิชาการ,อนุมัติแล้ว,T021,2024-09-20,,,ปกติ,แต่งตั้งคณะกรรมการควบคุมการสอบปลายภาค
DOC013,บันทึกข้อความ,ขออนุมัติจัดอบรมครู,T021,2024-09-25,บุคลากร,อนุมัติแล้ว,T021,2024-09-26,T023,2024-09-27,ปกติ,อบรมพัฒนาครูด้านเทคโนโลยี
DOC014,บันทึกข้อความ,ขออนุมัติจัดซื้อหนังสือห้องสมุด,T024,2024-09-28,ห้องสมุด,อนุมัติแล้ว,T021,2024-09-29,T023,2024-09-30,ปกติ,จัดซื้อหนังสือเพิ่มเติมสำหรับห้องสมุด
DOC015,หนังสือราชการ,ส่งรายงานการประเมินตนเอง,T022,2024-10-01,บริหารทั่วไป,อนุมัติแล้ว,T021,2024-10-02,,,ด่วน,ส่ง SAR ให้สำนักงานเขตพื้นที่
DOC016,บันทึกข้อความ,ขออนุมัติจัดโครงการค่ายวิทยาศาสตร์,T003,2024-10-05,วิชาการ,อนุมัติแล้ว,T021,2024-10-06,T023,2024-10-08,ปกติ,จัดค่ายวิทยาศาสตร์สำหรับนักเรียน ม.3
DOC017,บันทึกข้อความ,ขออนุมัติเปลี่ยนแปลงงบประมาณ,T023,2024-10-10,การเงิน,รอการอนุมัติ,,,,,ด่วน,ขอเปลี่ยนแปลงรายการงบประมาณ
DOC018,คำสั่ง,มอบหมายงานพิเศษ,T021,2024-10-12,บริหารทั่วไป,อนุมัติแล้ว,T021,2024-10-12,,,ปกติ,มอบหมายงานจัดงานกีฬาสี
DOC019,บันทึกข้อความ,ขออนุมัติจัดซื้ออุปกรณ์กีฬา,T007,2024-10-15,วิชาการ,อนุมัติแล้ว,T021,2024-10-16,T023,2024-10-17,ปกติ,จัดซื้ออุปกรณ์กีฬาสำหรับงานกีฬาสี
DOC020,หนังสือราชการ,ขอความอนุเคราะห์สถานที่,T008,2024-10-18,กิจการนักเรียน,รอการอนุมัติ,,,,,ปกติ,ขอใช้สนามกีฬาองค์การบริหารส่วนจังหวัด
DOC021,บันทึกข้อความ,ขออนุมัติเบิกค่ารักษาพยาบาล,T015,2024-10-20,บุคลากร,อนุมัติแล้ว,T021,2024-10-21,T023,2024-10-22,ปกติ,ค่ารักษาพยาบาลครูและบุคลากร
DOC022,บันทึกข้อความ,ขออนุมัติจัดงานวันพ่อ,T008,2024-10-25,กิจการนักเรียน,รอการอนุมัติ,T021,,,ปกติ,จัดกิจกรรมวันพ่อแห่งชาติ
DOC023,คำสั่ง,แต่งตั้งคณะกรรมการจัดงานกีฬาสี,T021,2024-10-28,กิจการนักเรียน,อนุมัติแล้ว,T021,2024-10-28,,,ปกติ,แต่งตั้งคณะกรรมการจัดงานกีฬาสี
DOC024,บันทึกข้อความ,ขออนุมัติซ่อมเครื่องคอมพิวเตอร์,T014,2024-10-30,เทคโนโลยี,รอการอนุมัติ,,,,,ด่วน,ซ่อมเครื่องคอมพิวเตอร์ชำรุด
DOC025,หนังสือราชการ,รายงานการใช้งบประมาณ,T023,2024-11-01,การเงิน,รอการอนุมัติ,T021,,,ปกติ,รายงานการใช้จ่ายงบประมาณไตรมาส 2
DOC026,บันทึกข้อความ,ขออนุมัติจัดทำป้ายประชาสัมพันธ์,T022,2024-11-03,บริหารทั่วไป,รอการอนุมัติ,,,,,ปกติ,จัดทำป้ายประชาสัมพันธ์โครงการต่างๆ
DOC027,บันทึกข้อความ,ขออนุมัติลาป่วย,T018,2024-11-05,บุคลากร,อนุมัติแล้ว,T021,2024-11-05,,,ด่วนที่สุด,ลาป่วยเนื่องจากเจ็บป่วย
DOC028,คำสั่ง,แต่งตั้งครูแทน,T021,2024-11-05,บุคลากร,อนุมัติแล้ว,T021,2024-11-05,,,ด่วน,แต่งตั้งครูสอนแทนครูที่ลาป่วย
DOC029,บันทึกข้อความ,ขออนุมัติจัดซื้อวัสดุวิทยาศาสตร์,T003,2024-11-07,วิชาการ,รอการอนุมัติ,,,,,ปกติ,จัดซื้อสารเคมีและอุปกรณ์ทดลอง
DOC030,หนังสือราชการ,ขอประชาสัมพันธ์โครงการ,T008,2024-11-08,กิจการนักเรียน,ร่าง,,,,,ปกติ,ขอประชาสัมพันธ์โครงการค่ายคุณธรรม
DOC031,บันทึกข้อความ,ขออนุมัติจ้างเหมาทำความสะอาด,T025,2024-11-10,อาคารสถานที่,ร่าง,,,,,ปกติ,จ้างเหมาทำความสะอาดอาคารเรียน
